Country name,Region,Currency,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,Source
Albania,Europe and Central Asia,ALL,,,,,34783,36451,37715,36993,37323,38148,37341,39026,39647,,,,Albania National Institute of Statistics
Armenia,Europe and Central Asia,AMD,,,,,,,140739,146524,158580,171615,174445,177817,172727,182673,189716,204048,National Statistics Service of Armenia 
Azerbaijan,Europe and Central Asia,AZN,149,216,274,298,332,364,398,425,445,467,500,529,545,635,708,732,State Statistical Committee of the Republic of Azerbaijan
Belarus,Europe and Central Asia,BYR,58,69,87,98,122,190,368,506,605,671,723,823,971,1093,1255,1444,Republic of Belarus Official Statistics 
Bosnia and Herzegovina,Europe and Central Asia,BAM,,954,1113,1204,1217,1271,1290,1291,1290,1289,1301,1321,1363,1422,1480,1542,Agency of Statistics for Bosnia & Herzegovina 
Croatia,Europe and Central Asia,HRK,6575,6995,7507,7655,7677,7772,7863,7926,7951,7978,8037,8304,8612,8942,9187,9599,Republic of Croatia Central Bureau of Statistics
Georgia,Europe and Central Asia,GEL,278,368,535,557,598,636,713,773,818,900,940,999,1068,1129,1191,1305,National Statistics Office of Georgia
Kazakhstan,Europe and Central Asia,KZT,40790,53238,60734,67639,77482,89959,101079,108640,120455,125335,142351,149663,162267,185487,212634,248791,Agency of Statistics of Kazakhstan
Kyrgyzstan Republic,Europe and Central Asia,KGS,3270,3970,5378,6161,7189,9304,10726,11341,12285,13483,14847,15670,16427,17232,18940,19330,National Statistical Committee of the Kyrgyz Republic
"Moldova, Republic of",Europe and Central Asia,MDL,1697,2065,2530,2748,2972,3042,3386,3674,4090,4538,4998,5587,6268,7234,7943,8980,National Bureau of Statistics Moldova
Montenegro,Europe and Central Asia,EUR,433,497,609,643,715,722,727,726,723,725,751,765,766,773,783,793,Statistical Office of Montenegro
Russian Federation,Europe and Central Asia,RUB,10634,13593,17290,18638,20952,23369,26629,29792,32495,34030,36709,39167,43724,47867,51344,56545,Russia Federal State Statistics Service
Serbia,Europe and Central Asia,RSD,31745,38744,45674,44147,47450,52733,57430,60708,61426,61145,63474,65976,68629,75814,82984,90784,Statistical Office of the Republic of Serbia
Tajikistan,Europe and Central Asia,TJS,122,170,243,306,361,464,573,725,859,910,987,1171,1257,1352,1412,1569,State Committee on Statistics of Tajikstan 
North Macedonia,Europe and Central Asia,MKD,23036,24136,26229,29922,30225,30602,30669,31025,31325,32173,32822,33688,35625,37453,40433,42873,Republic of Macedonia State Statistical Office
Türkiye,Europe and Central Asia,TRY,1103,,,,1512,,,,2207,,,,3960,,,,Turkish Statistical Institute
Turkmenistan,Europe and Central Asia,TMT,,507,604,678,743,848,943,1047,1153,1263,1381,1403,,,,,State Committee of Turkmenistan Statistics
Ukraine,Europe and Central Asia,UAH,,,,,2250,2648,3041,3282,3480,4195,5183,7104,8865,10497,11591,,State Committee of Statistics of Ukraine
Uzbekistan,Europe and Central Asia,UZS,,,81500,,504800,921300,1056800,,,,1293800,1453800,1822700,2324600,2673300,3208200,State Committee of the Republic of Uzbekistan on Statistics
Argentina,Americas,ARS,981,1198,1537,1860,2303,3000,3724,4758,6168,7465,11243,13446,17045,23502,31365,47570,INDEC
Belize,Americas,BZD,,,,,,,,,1506,1199,1158,1198,1218,1269,1020,,ILOSTAT
"Bolivia, Plurinational State of",Americas,BOB,1337,1419,1615,1698,,2042,2545,2661,3134,3160,3276,3372,3526,3627,3614,3584,ILO SIALC
Brazil,Americas,BRL,824,894,971,1051,,1270,1458,1595,1730,1862,1985,2088,2196,2287,2466,2481,Brazilian Institute of Geography and Statistics (IBGE)
Chile,Americas,CLP,299504,321341,351549,373221,,,478282,506227,526819,559700,571547,600070,632162,653892,702733,742744,National Statistics Institute of Chile
Colombia,Americas,COP,672658,860382,940951,921476,1023646,1064974,1072370,1152113,1145431,1212616,1290862,1268917,1355017,1440625,1441367,1513647,ILO SIALC
Costa Rica,Americas,CRC,263975,292599,325392,386395,420667,468832,497597,531926,568158,579249,613977,632926,645022,669281,670444,704008,Central Bank of Costa Rica
Cuba,Americas,CUP,387,408,415,429,448,455,466,471,584,687,740,767,,,,,Cuba National Office of Statistics
Dominican Republic,Americas,DOP,8491,9113,10183,11800,11327,12129,13259,13372,13896,13063,13570,14540,15971,16881,16879,20692,ILOSTAT
